"2000;52;;0;0 Ft;31;1 303 301 Ft;2439;16 565 Ft;94807;746 Ft;58;66;68;83;89"
"2000;51;;0;0 Ft;25;1 397 877 Ft;2883;12 122 Ft;98877;619 Ft;17;32;34;82;87"
"2000;50;;0;0 Ft;37;928 770 Ft;3111;11 046 Ft;91272;659 Ft;17;53;60;79;82"
"2000;49;;0;0 Ft;68;504 000 Ft;3763;9 108 Ft;99280;604 Ft;12;36;61;69;88"
"2000;48;;0;0 Ft;15;2 287 116 Ft;2025;16 942 Ft;79564;755 Ft;15;18;60;74;78"
"2000;47;;0;0 Ft;64;504 138 Ft;5692;5 668 Ft;137593;410 Ft;7;8;11;29;90"
"2000;46;;0;0 Ft;70;445 263 Ft;4426;7 042 Ft;114101;478 Ft;5;17;32;35;81"
"2000;45;;0;0 Ft;28;1 078 097 Ft;3184;9 481 Ft;92989;568 Ft;42;54;62;68;75"
"2000;44;;0;0 Ft;32;848 944 Ft;2959;9 181 Ft;87339;544 Ft;32;35;54;68;77"
"2000;43;;0;0 Ft;38;694 188 Ft;3122;8 449 Ft;83080;556 Ft;4;10;20;59;79"
"2000;42;;0;0 Ft;3;8 673 023 Ft;1425;18 259 Ft;50149;908 Ft;44;50;82;85;88"
"2000;41;;0;0 Ft;16;1 958 803 Ft;2103;14 903 Ft;69062;794 Ft;14;28;31;78;88"
"2000;40;;0;0 Ft;9;2 792 582 Ft;1844;13 630 Ft;64344;684 Ft;30;39;55;57;85"
"2000;39;;0;0 Ft;20;1 226 975 Ft;2607;9 413 Ft;89269;481 Ft;6;9;64;67;79"
"2000;38;;0;0 Ft;43;572 426 Ft;3042;8 094 Ft;82461;522 Ft;9;22;58;69;79"
"2000;37;;0;0 Ft;25;988 094 Ft;2505;9 861 Ft;72210;599 Ft;22;32;56;61;73"
"2000;36;;0;0 Ft;11;2 262 213 Ft;1679;14 821 Ft;61209;712 Ft;36;50;51;80;82"
"2000;35;;0;0 Ft;24;1 026 458 Ft;1905;12 932 Ft;59761;722 Ft;23;50;76;79;89"
"2000;34;;0;0 Ft;33;736 964 Ft;2638;9 219 Ft;71100;599 Ft;17;35;58;59;63"
"2000;33;;0;0 Ft;83;324 029 Ft;5769;4 662 Ft;126595;372 Ft;4;9;18;25;63"
"2000;32;;0;0 Ft;42;584 880 Ft;4576;5 368 Ft;112714;381 Ft;3;21;35;40;45"
"2000;31;;1;383 471 688 Ft;27;1 030 970 Ft;1897;14 674 Ft;63099;772 Ft;46;47;70;77;79"
"2000;30;;0;0 Ft;90;299 575 Ft;5686;4 742 Ft;122185;386 Ft;21;44;53;56;77"
"2000;29;;0;0 Ft;20;1 330 697 Ft;2590;10 276 Ft;88403;527 Ft;3;49;64;76;90"
"2000;28;;0;0 Ft;20;1 268 274 Ft;2749;9 227 Ft;77458;573 Ft;17;29;64;70;82"
"2000;27;;0;0 Ft;21;1 175 062 Ft;2155;11 451 Ft;68150;634 Ft;28;34;39;40;81"
"2000;26;;0;0 Ft;23;1 051 359 Ft;2583;9 362 Ft;71875;589 Ft;18;47;49;55;60"
"2000;25;;0;0 Ft;20;1 187 888 Ft;2366;10 041 Ft;79903;520 Ft;13;17;20;82;86"
"2000;24;;0;0 Ft;25;950 582 Ft;3745;6 346 Ft;101229;411 Ft;7;23;27;35;61"
"2000;23;;0;0 Ft;20;1 208 665 Ft;2036;11 873 Ft;61495;688 Ft;18;38;45;58;80"
"2000;22;;0;0 Ft;35;682 106 Ft;2483;9 615 Ft;65925;634 Ft;16;18;50;69;88"
"2000;21;;1;49 891 333 Ft;49;488 022 Ft;3396;7 042 Ft;81515;513 Ft;5;16;26;50;73"
"2000;20;;1;50 421 164 Ft;16;1 521 058 Ft;1903;12 789 Ft;66327;642 Ft;15;48;65;67;81"
"2000;19;;1;399 960 261 Ft;35;772 762 Ft;2882;9 385 Ft;88705;534 Ft;13;31;43;53;60"
"2000;18;;0;0 Ft;13;1 989 705 Ft;1762;14 680 Ft;63555;712 Ft;1;47;58;86;90"
"2000;17;;0;0 Ft;35;720 873 Ft;2884;8 748 Ft;84323;524 Ft;20;23;51;59;64"
"2000;16;;0;0 Ft;40;646 569 Ft;3637;7 111 Ft;84125;538 Ft;25;42;48;52;90"
"2000;15;;0;0 Ft;40;648 691 Ft;3376;7 686 Ft;94206;482 Ft;5;11;47;48;77"
"2000;14;;0;0 Ft;31;839 176 Ft;2814;9 245 Ft;85318;534 Ft;15;29;37;39;55"
"2000;13;;0;0 Ft;22;1 162 360 Ft;2590;9 873 Ft;75778;591 Ft;4;30;47;67;81"
"2000;12;;0;0 Ft;18;1 422 457 Ft;2198;11 649 Ft;87812;510 Ft;19;57;59;73;74"
"2000;11;;0;0 Ft;70;369 078 Ft;4920;5 251 Ft;112955;400 Ft;10;19;57;64;81"
"2000;10;;0;0 Ft;27;976 450 Ft;1843;14 305 Ft;61146;755 Ft;14;16;33;78;83"
"2000;9;;0;0 Ft;91;287 462 Ft;4591;5 698 Ft;102221;448 Ft;4;11;31;37;64"
"2000;8;;1;224 558 204 Ft;25;1 110 007 Ft;2679;10 358 Ft;82392;589 Ft;11;16;34;42;59"
"2000;7;;0;0 Ft;54;516 600 Ft;4250;6 564 Ft;107282;455 Ft;1;5;34;66;72"
"2000;6;;0;0 Ft;18;1 543 681 Ft;2215;12 545 Ft;76464;636 Ft;8;10;70;76;85"
"2000;5;;0;0 Ft;40;684 895 Ft;3078;8 901 Ft;85560;560 Ft;4;22;30;67;88"
"2000;4;;0;0 Ft;32;846 232 Ft;2498;10 840 Ft;73465;645 Ft;16;29;53;57;80"
"2000;3;;0;0 Ft;38;715 493 Ft;3790;7 174 Ft;105602;451 Ft;7;27;40;49;78"
"2000;2;;1;657 522 315 Ft;74;437 831 Ft;5669;5 715 Ft;135416;419 Ft;17;21;32;63;73"
"2000;1;;0;0 Ft;38;816 504 Ft;3647;8 508 Ft;100981;538 Ft;24;30;37;54;83"
